74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89;8
7,8,9,10,11,12,13,14,15,16;5
1,2,3,4,5;2
22,23,24,25,26,27,28,29,30;3
91,92,93,94,95,96,97,98,99,100,101,102,103,104,105;2
32,33,34,35,36,37,38,39,40,41,42,43,44,45,46;9
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;6
76,77,78,79,80,81,82,83,84,85,86,87,88;7
60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76;1
100,101;1
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24;8
1,2,3,4,5;3
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23;9
52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68;5
25,26,27,28,29,30,31,32,33,34,35;1
9,10,11,12,13,14,15,16;3
97,98,99,100,101,102,103,104,105,106,107,108,109,110,111;7
88,89,90,91,92,93,94,95,96,97,98,99,100,101;9
81,82,83,84,85,86,87,88,89,90,91,92,93,94,95;2
34,35,36,37,38,39,40,41,42,43,44,45,46;6
